epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,5251.38,1.41104,1.64396,1.01174,0.68109,0.56998,0.64868,0.36685,1.32145,1.17048,0.94827,9.06517e-05,9.06517e-05,9.06517e-05
42,5371.76,1.401,1.58542,1.00903,0.65283,0.63886,0.66478,0.37884,1.29728,1.15048,0.94292,8.65378e-05,8.65378e-05,8.65378e-05
43,5492.67,1.42764,1.73431,1.00965,0.61807,0.62591,0.64531,0.36735,1.30059,1.18836,0.94026,8.24492e-05,8.24492e-05,8.24492e-05
44,5613.43,1.42813,1.64435,0.99905,0.68353,0.62689,0.66561,0.38047,1.30713,1.1718,0.94187,7.83933e-05,7.83933e-05,7.83933e-05
45,5734.26,1.43451,1.6407,1.00822,0.69626,0.59324,0.65607,0.37022,1.3096,1.18086,0.9463,7.43769e-05,7.43769e-05,7.43769e-05
46,5855.07,1.38144,1.58106,0.98439,0.69939,0.60719,0.66209,0.3786,1.30208,1.14665,0.94343,7.04073e-05,7.04073e-05,7.04073e-05
47,5975.51,1.44668,1.64224,1.01607,0.65718,0.63288,0.65993,0.37987,1.28959,1.15647,0.94347,6.64914e-05,6.64914e-05,6.64914e-05
48,6096.43,1.42059,1.57103,1.00437,0.65479,0.63788,0.66468,0.38527,1.27857,1.1468,0.93899,6.2636e-05,6.2636e-05,6.2636e-05
49,6217.1,1.37814,1.51475,0.99832,0.68201,0.61516,0.65492,0.36877,1.30563,1.1596,0.94474,5.88479e-05,5.88479e-05,5.88479e-05
50,6337.91,1.41959,1.56537,1.00511,0.64072,0.6231,0.65891,0.37731,1.29764,1.16674,0.94183,5.51337e-05,5.51337e-05,5.51337e-05
51,6458.79,1.43515,1.59326,1.00861,0.6618,0.61186,0.66389,0.3806,1.28969,1.16544,0.94084,5.15e-05,5.15e-05,5.15e-05
52,6580.02,1.39796,1.59162,1.00189,0.64417,0.64563,0.65923,0.37423,1.30386,1.16829,0.94682,4.79531e-05,4.79531e-05,4.79531e-05
53,6701.1,1.43045,1.62176,1.00302,0.66469,0.6149,0.66028,0.37683,1.30693,1.16321,0.94336,4.44994e-05,4.44994e-05,4.44994e-05
54,6822.02,1.39185,1.52423,0.98977,0.66089,0.63149,0.66315,0.38197,1.29031,1.1558,0.9447,4.11447e-05,4.11447e-05,4.11447e-05
55,6942.94,1.40261,1.56992,0.99648,0.63002,0.64248,0.65446,0.37739,1.283,1.15159,0.94177,3.7895e-05,3.7895e-05,3.7895e-05
56,7063.97,1.41088,1.53588,0.99936,0.61103,0.64343,0.65714,0.37995,1.29811,1.15738,0.94539,3.47561e-05,3.47561e-05,3.47561e-05
57,7184.93,1.3927,1.49971,0.99614,0.66871,0.5987,0.65662,0.37133,1.31138,1.16589,0.94897,3.17333e-05,3.17333e-05,3.17333e-05
58,7305.55,1.41053,1.51763,0.99618,0.62948,0.6318,0.66193,0.38199,1.28377,1.14889,0.94208,2.88321e-05,2.88321e-05,2.88321e-05
59,7426.34,1.37006,1.46932,0.98266,0.67103,0.6151,0.65613,0.37749,1.29742,1.15962,0.9447,2.60575e-05,2.60575e-05,2.60575e-05
60,7547.04,1.43043,1.55638,1.00804,0.69204,0.60286,0.66241,0.37734,1.29132,1.13807,0.9448,2.34143e-05,2.34143e-05,2.34143e-05
61,7667.91,1.37492,1.50866,0.9981,0.66884,0.60604,0.6557,0.37762,1.30037,1.16347,0.94599,2.09073e-05,2.09073e-05,2.09073e-05
